Date,Price,Open,High,Low,Vol.,Change %,AVG
01/01/2000,104.97,101.39,105.14,99.4,25.25K,3.39%,102.73
02/01/2000,105.88,104.86,106.24,102.92,18.08K,0.87%,104.98
03/01/2000,105.16,106.16,106.63,104.18,26.92K,-0.68%,105.53
04/01/2000,109.99,105.31,110.15,103.85,24.46K,4.59%,107.33
05/01/2000,108.69,109.68,112.66,108.14,27.64K,-1.18%,109.79
06/01/2000,106.58,108.54,109.35,105.5,13.80K,-1.94%,107.49
07/01/2000,109.37,106.63,109.7,106.44,12.94K,2.62%,108.04
08/01/2000,112.57,109.28,112.88,109.1,14.61K,2.93%,110.96
09/01/2000,113,112.3,116.45,111.2,15.70K,0.38%,113.24
10/01/2000,116.62,112.87,118.9,112.72,14.53K,3.20%,115.28
11/01/2000,115.1,116.52,118.45,114.05,17.96K,-1.30%,116.03
12/01/2000,109.28,115.16,115.43,109.27,14.79K,-5.06%,112.29
01/01/2001,110.53,109.11,112.6,108.04,20.13K,1.14%,110.07
02/01/2001,112,110.3,113.65,109.4,14.63K,1.33%,111.34
03/01/2001,117.63,112.01,117.78,110.81,20.45K,5.03%,114.56
04/01/2001,115.95,117.77,117.89,114.01,21.57K,-1.43%,116.41
05/01/2001,119.19,115.82,119.33,114.38,22.59K,2.79%,117.18
06/01/2001,119.75,119.14,120.37,117.5,20.90K,0.47%,119.19
07/01/2001,117.39,119.7,121.29,116.58,38.33K,-1.97%,118.74
08/01/2001,113.54,117.25,117.25,112.47,21.49K,-3.28%,115.13
09/01/2001,113.96,114.31,116.14,111.35,11.03K,0.37%,113.94
10/01/2001,115.15,114.01,116.6,112.62,17.64K,1.04%,114.60
11/01/2001,115.55,114.9,117.98,113.92,34.94K,0.35%,115.59
12/01/2001,117.21,115.63,118.85,114.8,25.60K,1.44%,116.62
01/01/2002,120.59,116.81,120.8,116,20.09K,2.88%,118.55
02/01/2002,119.28,120.45,120.55,118.26,25.90K,-1.09%,119.64
03/01/2002,119.06,119.35,119.7,116.8,23.90K,-0.18%,118.73
04/01/2002,115.4,118.93,118.95,114.93,37.50K,-3.07%,117.05
05/01/2002,111.91,115.34,115.47,110.95,28.94K,-3.02%,113.42
06/01/2002,106.55,111.98,112,105.97,27.14K,-4.79%,109.13
07/01/2002,107.7,106.22,108.33,104.12,20.68K,1.08%,106.59
08/01/2002,106.87,107.81,109.25,106.32,14.10K,-0.77%,107.56
09/01/2002,107.26,106.46,109.75,105.53,21.42K,0.36%,107.25
10/01/2002,106.82,107.1,108.95,106.71,32.86K,-0.41%,107.40
11/01/2002,106.5,106.71,107.1,104.36,28.59K,-0.30%,106.17
12/01/2002,102.26,106.59,107.38,102.26,38.70K,-3.98%,104.62
01/01/2003,100.14,102.71,103.67,99.05,22.96K,-2.07%,101.39
02/01/2003,99.81,100.46,101.1,98.87,24.95K,-0.33%,100.06
03/01/2003,99.49,99.75,102.68,97.62,43.89K,-0.32%,99.89
04/01/2003,97.38,99.34,102.19,97.32,30.96K,-2.12%,99.06
05/01/2003,93.31,97.35,97.43,92.35,28.04K,-4.18%,95.11
06/01/2003,95.11,93.81,95.7,92.2,48.34K,1.93%,94.21
07/01/2003,97.14,94.86,97.8,94.3,37.08K,2.13%,96.03
08/01/2003,98.1,97.03,99.57,95.67,19.51K,0.99%,97.59
09/01/2003,93.2,98.2,99.4,92.43,44.38K,-4.99%,95.81
10/01/2003,92.88,93.11,93.62,91.23,39.62K,-0.34%,92.71
11/01/2003,90.28,92.86,94.32,90.13,48.76K,-2.80%,91.90
12/01/2003,87.26,90.15,90.6,86.7,44.66K,-3.35%,88.68
01/01/2004,87.42,87.07,88.17,85.1,49.34K,0.18%,86.94
02/01/2004,87.42,87.34,88.13,84.77,52.09K,0.00%,86.92
03/01/2004,87.95,87.11,89.95,87.11,59.96K,0.61%,88.03
04/01/2004,90.68,87.9,91.79,87.3,50.79K,3.10%,89.42
05/01/2004,88.98,90.81,92.5,88.59,59.18K,-1.87%,90.22
06/01/2004,89,88.68,90.77,88.06,47.90K,0.02%,89.13
07/01/2004,90.11,89.07,90.49,87.2,56.84K,1.25%,89.22
08/01/2004,88.96,89.98,90.34,87.73,37.00K,-1.28%,89.25
09/01/2004,87.51,89,89.8,87.49,41.38K,-1.63%,88.45
10/01/2004,84.98,87.52,88.79,84.85,47.93K,-2.89%,86.54
11/01/2004,81.82,84.76,85.68,81.6,50.16K,-3.72%,83.47
12/01/2004,81,81.87,83.06,80.48,70.17K,-1.00%,81.60
01/01/2005,83.64,81.11,84.14,81.11,59.05K,3.26%,82.50
02/01/2005,82.51,83.57,85.46,82.28,54.02K,-1.35%,83.46
03/01/2005,84.05,82.68,84.75,81.27,63.82K,1.87%,83.19
04/01/2005,84.42,84.1,85.31,83.31,60.14K,0.44%,84.29
05/01/2005,87.8,84.47,87.8,83.72,71.77K,4.00%,85.95
06/01/2005,88.98,87.73,89.35,87.12,72.07K,1.34%,88.30
07/01/2005,89.23,89.01,90.66,88.15,57.20K,0.28%,89.26
08/01/2005,87.54,89.26,89.35,86.69,93.60K,-1.89%,88.21
09/01/2005,89.35,87.51,89.6,85.97,86.30K,2.07%,88.11
10/01/2005,89.93,89.27,90.55,88.35,108.21K,0.65%,89.53
11/01/2005,91.51,89.94,92.53,89.45,109.35K,1.76%,90.86
12/01/2005,90.96,91.5,92.33,89.49,103.29K,-0.60%,91.07
01/01/2006,88.81,90.49,90.68,87.69,73.43K,-2.36%,89.42
02/01/2006,90.08,88.83,90.94,88.75,94.66K,1.43%,89.65
03/01/2006,89.39,90.02,91.18,88.45,125.30K,-0.77%,89.76
04/01/2006,85.88,89.39,90.03,85.77,87.46K,-3.93%,87.77
05/01/2006,84.65,85.69,86.1,83.41,84.03K,-1.43%,84.96
06/01/2006,84.9,84.63,86.68,83.66,99.88K,0.30%,84.97
07/01/2006,85.09,84.83,87.05,84.42,72.81K,0.22%,85.35
08/01/2006,85.02,85.09,85.55,84.17,47.59K,-0.08%,84.96
09/01/2006,85.68,84.99,86.14,84.56,74.68K,0.78%,85.34
10/01/2006,85.11,85.72,87.08,84.98,80.30K,-0.67%,85.72
11/01/2006,82.85,85.07,85.77,82.7,61.42K,-2.66%,84.10
12/01/2006,83.43,82.81,84.19,82.18,65.07K,0.70%,83.15
01/01/2007,84.43,83.19,85.25,82.9,56.48K,1.20%,83.94
02/01/2007,83.5,84.48,85.09,83.32,67.22K,-1.10%,84.10
03/01/2007,82.66,83.53,84.36,82.38,64.61K,-1.01%,83.23
04/01/2007,81.3,82.64,82.97,81.1,44.40K,-1.65%,82.00
05/01/2007,82.25,81.25,82.5,81.1,46.04K,1.17%,81.78
06/01/2007,81.69,82.23,83.26,81.66,81.00K,-0.68%,82.21
07/01/2007,80.66,81.655,81.68,79.87,85.25K,-1.26%,80.97
08/01/2007,80.745,80.77,82,79.855,82.49K,0.11%,80.84
09/01/2007,77.625,80.755,81.1,77.58,86.47K,-3.86%,79.27
10/01/2007,76.46,77.67,78.8,76.43,55.74K,-1.50%,77.34
11/01/2007,76.17,76.57,76.82,74.76,56.40K,-0.38%,76.08
12/01/2007,76.7,76.1,77.86,75.615,51.55K,0.70%,76.57
01/01/2008,75.285,76.74,77.5,74.66,69.47K,-1.84%,76.05
02/01/2008,73.75,75.35,77.195,73.63,74.48K,-2.04%,74.98
03/01/2008,72.165,73.65,74,70.805,139.77K,-2.15%,72.66
04/01/2008,72.72,72.23,74.5,71.05,124.05K,0.77%,72.63
05/01/2008,72.95,72.75,74.065,71.915,130.90K,0.32%,72.92
06/01/2008,72.8,72.95,74.32,72.17,129.35K,-0.21%,73.06
07/01/2008,73.42,72.75,73.735,71.555,115.95K,0.85%,72.87
08/01/2008,77.5,73.425,77.71,73.365,141.47K,5.56%,75.50
09/01/2008,79.36,77.33,80.395,76.025,195.82K,2.40%,78.28
10/01/2008,86.345,79.18,88.495,79.045,142.52K,8.80%,83.27
11/01/2008,86.705,86.345,89.25,84.455,79.79K,0.42%,86.69
12/01/2008,82.15,86.58,87.85,79.5,99.22K,-5.25%,84.02
01/01/2009,86.46,82.195,87.405,81.99,80.85K,5.25%,84.51
02/01/2009,88.15,86.685,88.675,84.665,103.45K,1.95%,87.04
03/01/2009,85.895,88.4,89.71,83.145,143.40K,-2.56%,86.79
04/01/2009,84.775,86.01,87.22,84.035,104.13K,-1.30%,85.51
05/01/2009,79.43,84.9,85.03,79.255,125.98K,-6.30%,82.15
06/01/2009,80.425,79.305,81.795,78.375,169.49K,1.25%,79.98
07/01/2009,78.45,80.385,81.165,78.31,122.71K,-2.46%,79.58
08/01/2009,78.22,78.16,79.695,77.52,140.29K,-0.29%,78.40
09/01/2009,76.86,78.17,79.01,76.045,184.61K,-1.74%,77.52
10/01/2009,76.475,76.87,77.72,75.085,264.57K,-0.50%,76.54
11/01/2009,74.935,76.475,77.5,74.21,345.60K,-2.01%,75.78
12/01/2009,78.22,74.845,78.77,74.31,392.18K,4.38%,76.54
01/01/2010,79.65,78.355,79.68,76.74,369.13K,1.83%,78.61
02/01/2010,80.44,79.61,81.43,78.83,511.18K,0.99%,80.08
03/01/2010,81.291,80.535,82.52,79.65,551.28K,1.06%,81.00
04/01/2010,81.991,81.215,82.87,80.14,456.19K,0.86%,81.55
05/01/2010,86.67,82.05,87.625,81.87,707.64K,5.71%,84.55
06/01/2010,86.281,86.725,88.8,85.36,448.83K,-0.45%,86.79
07/01/2010,81.655,86.45,86.545,81.565,414.56K,-5.36%,84.05
08/01/2010,83.254,81.57,83.635,80.17,443.72K,1.96%,82.16
09/01/2010,78.938,83.18,83.265,78.62,466.55K,-5.18%,81.00
10/01/2010,77.457,78.99,79.015,75.85,524.89K,-1.88%,77.83
11/01/2010,81.271,77.105,81.525,75.235,576.63K,4.92%,78.78
12/01/2010,79.288,81.335,81.435,79.025,412.78K,-2.44%,80.27
01/01/2011,77.865,79.31,81.635,77.665,494.63K,-1.79%,79.12
02/01/2011,76.921,77.76,78.98,76.78,407.93K,-1.21%,77.61
03/01/2011,76.072,76.855,77.55,75.59,595.87K,-1.10%,76.52
04/01/2011,73.107,76.3,76.87,73.015,467.91K,-3.90%,74.82
05/01/2011,74.696,73.185,76.54,72.86,815.51K,2.17%,74.32
06/01/2011,74.635,74.525,76.59,73.515,687.92K,-0.08%,74.82
07/01/2011,74.036,74.82,77.175,73.585,578.63K,-0.80%,74.90
08/01/2011,74.173,74.13,75.645,73.515,634.35K,0.19%,74.37
09/01/2011,79.075,74.235,79.645,74.2,711.88K,6.61%,76.79
10/01/2011,76.306,79.44,80.43,74.86,658.66K,-3.50%,77.76
11/01/2011,78.491,76.63,79.875,76.595,530.53K,2.86%,77.90
12/01/2011,80.522,78.485,81.31,78.06,402.07K,2.59%,79.59
01/01/2012,79.417,80.155,82.045,78.855,425.71K,-1.37%,80.12
02/01/2012,78.794,79.48,80.24,78.12,553.78K,-0.78%,79.16
03/01/2012,79.138,78.8,80.725,78.69,506.53K,0.44%,79.34
04/01/2012,78.848,79.035,80.365,78.685,390.03K,-0.37%,79.23
05/01/2012,83.129,78.875,83.295,78.665,669.29K,5.43%,80.99
06/01/2012,81.753,83.21,83.67,81.225,628.71K,-1.66%,82.46
07/01/2012,82.71,81.73,84.245,81.655,449.02K,1.17%,82.59
08/01/2012,81.216,82.78,83.61,80.96,414.15K,-1.81%,82.14
09/01/2012,80.025,81.21,81.675,78.6,384.62K,-1.47%,80.38
10/01/2012,79.987,80.045,80.425,78.97,395.86K,-0.05%,79.86
11/01/2012,80.163,79.99,81.515,79.925,431.74K,0.22%,80.40
12/01/2012,79.871,80.195,80.975,79.015,396.45K,-0.36%,80.01
01/01/2013,79.226,79.62,80.995,79.16,579.50K,-0.81%,79.75
02/01/2013,82.188,79.25,82.245,79.09,2.96K,3.74%,80.69
03/01/2013,83.375,82.2,83.675,82.07,211.54K,1.44%,82.83
04/01/2013,82.01,83.3,83.75,81.88,1.86K,-1.64%,82.74
05/01/2013,83.671,81.93,84.835,81.51,6.44K,2.03%,82.99
06/01/2013,83.596,83.655,83.785,80.705,185.16K,-0.09%,82.94
07/01/2013,81.769,83.62,85.22,81.755,1.81K,-2.19%,83.09
08/01/2013,82.39,82.175,82.795,81.035,7.51K,0.76%,82.10
09/01/2013,80.518,82.385,83.15,80.365,133.12K,-2.27%,81.60
10/01/2013,80.458,80.27,80.995,79.355,1.80K,-0.07%,80.27
11/01/2013,80.657,80.33,81.58,80.32,403.31K,0.25%,80.72
12/01/2013,80.189,80.685,81.015,79.5,392.46K,-0.58%,80.35
01/01/2014,81.403,80.43,81.525,80.22,496.85K,1.51%,80.89
02/01/2014,79.72,81.385,81.42,79.7,377.95K,-2.07%,80.56
03/01/2014,80.254,79.855,80.575,79.275,420.41K,0.67%,79.99
04/01/2014,79.532,80.255,80.77,79.385,319.79K,-0.90%,79.99
05/01/2014,80.404,79.57,80.63,78.93,354.14K,1.10%,79.88
06/01/2014,79.811,80.405,81.065,79.8,410.87K,-0.74%,80.27
07/01/2014,81.523,79.84,81.66,79.77,388.36K,2.15%,80.70
08/01/2014,82.783,81.53,82.79,81.265,434.38K,1.55%,82.09
09/01/2014,86.047,82.78,86.335,82.695,686.68K,3.94%,84.46
10/01/2014,87.016,86.05,87.245,84.525,938.40K,1.13%,86.21
11/01/2014,88.413,87.13,88.515,86.975,717.09K,1.61%,87.76
12/01/2014,90.647,88.37,90.665,87.805,758.68K,2.53%,89.37
01/01/2015,94.998,90.81,95.85,90.8,933.32K,4.80%,93.11
02/01/2015,95.321,94.905,95.44,93.385,647.34K,0.34%,94.76
03/01/2015,98.661,95.375,100.38,94.765,1.23M,3.50%,97.30
04/01/2015,94.714,98.73,100.27,94.47,1.15M,-4.00%,97.05
05/01/2015,96.986,94.94,97.88,93.155,1.00M,2.40%,95.74
06/01/2015,95.661,96.99,97.76,93.3,1.08M,-1.37%,95.93
07/01/2015,97.439,95.795,98.31,95.555,862.37K,1.86%,96.77
08/01/2015,95.854,97.305,98.425,92.52,1.08M,-1.63%,96.03
09/01/2015,96.48,95.89,96.88,94.195,790.53K,0.65%,95.86
10/01/2015,97.019,96.4,97.895,93.83,647.74K,0.56%,96.29
11/01/2015,100.21,96.815,100.36,96.71,561.73K,3.29%,98.52
12/01/2015,98.745,100.25,100.6,97.21,656.50K,-1.46%,99.20
01/01/2016,99.652,98.76,99.95,98.11,674.88K,0.92%,99.12
02/01/2016,98.219,99.7,99.75,95.28,580.15K,-1.44%,98.24
03/01/2016,94.578,98.205,98.595,94.295,462.49K,-3.71%,96.42
04/01/2016,93.054,94.62,95.21,92.975,487.38K,-1.61%,93.96
05/01/2016,95.878,92.995,95.96,91.88,394.72K,3.03%,94.18
06/01/2016,96.203,95.8,96.865,93.025,574.58K,0.34%,95.47
07/01/2016,95.491,95.955,97.62,95.335,404.80K,-0.74%,96.10
08/01/2016,96.012,95.49,96.5,94.05,406.89K,0.55%,95.51
09/01/2016,95.385,96.015,96.305,94.44,459.33K,-0.65%,95.54
10/01/2016,98.422,95.435,99.09,95.39,511.68K,3.18%,97.08
11/01/2016,101.539,98.39,102.12,95.905,847.10K,3.17%,99.49
12/01/2016,102.286,101.56,103.625,99.49,719.09K,0.74%,101.74
01/01/2017,99.481,102.815,103.815,99.4,888.32K,-2.74%,101.38
02/01/2017,101.129,99.58,101.75,99.195,673.84K,1.66%,100.41
03/01/2017,100.218,101.475,102.27,98.67,706.02K,-0.90%,100.66
04/01/2017,98.898,100.405,101.265,98.565,469.32K,-1.32%,99.78
05/01/2017,96.854,98.93,99.765,96.7,593.68K,-2.07%,98.06
06/01/2017,95.421,96.955,97.555,95.225,530.87K,-1.48%,96.29
07/01/2017,92.718,95.405,96.255,92.635,456.92K,-2.83%,94.25
08/01/2017,92.628,92.805,94.055,91.55,579.14K,-0.10%,92.76
09/01/2017,92.883,92.6,93.495,90.99,609.56K,0.28%,92.49
10/01/2017,94.429,92.965,95.06,92.59,477.95K,1.66%,93.76
11/01/2017,93.002,94.415,95.07,92.43,413.81K,-1.51%,93.73
12/01/2017,91.826,92.905,94.21,91.805,367.70K,-1.26%,92.69
01/01/2018,88.954,91.895,92.36,88.255,591.43K,-3.13%,90.37
02/01/2018,90.551,88.935,90.65,88.15,538.70K,1.80%,89.57
03/01/2018,89.812,90.655,90.885,88.53,512.74K,-0.82%,89.97
04/01/2018,91.63,89.68,91.79,88.945,478.85K,2.02%,90.51
05/01/2018,93.959,91.62,94.975,91.595,601.07K,2.54%,93.04
06/01/2018,94.349,93.96,95.255,93.18,446.09K,0.42%,94.19
07/01/2018,94.275,94.3,95.44,93.44,412.48K,-0.08%,94.36
08/01/2018,95.083,94.355,96.865,94.29,461.68K,0.86%,95.15
09/01/2018,94.737,95.115,95.68,93.395,411.38K,-0.36%,94.73
10/01/2018,96.901,94.71,96.98,94.47,502.98K,2.28%,95.77
11/01/2018,97.196,96.885,97.53,95.485,482.09K,0.30%,96.77
12/01/2018,95.735,97.055,97.705,95.585,401.49K,-1.50%,96.52
01/01/2019,95.304,95.69,96.56,94.635,467.04K,-0.45%,95.55
02/01/2019,96.043,95.29,97.23,95.11,331.80K,0.78%,95.92
03/01/2019,96.845,96.165,97.665,95.17,384.08K,0.84%,96.46
04/01/2019,97.201,96.795,98.085,96.365,274.91K,0.37%,97.11
05/01/2019,97.666,97.23,98.26,96.81,291.45K,0.48%,97.49
06/01/2019,95.666,97.7,97.72,95.365,448.25K,-2.05%,96.61
07/01/2019,98.258,95.775,98.445,95.775,350.77K,2.71%,97.06
08/01/2019,98.86,98.365,98.97,96.98,375.47K,0.61%,98.29
09/01/2019,99.021,98.795,99.33,97.735,330.97K,0.16%,98.72
10/01/2019,97.154,99.035,99.305,96.885,390.00K,-1.89%,98.09
11/01/2019,98.202,97.11,98.495,96.96,229.80K,1.08%,97.69
12/01/2019,96.058,98.21,98.32,96.02,279.73K,-2.18%,97.15
01/01/2020,97.213,96.14,98.005,96.1,276.75K,1.20%,96.86
02/01/2020,98.081,97.245,99.815,97.23,352.62K,0.89%,98.09
03/01/2020,99.092,97.985,103.96,94.61,680.13K,1.03%,98.91
04/01/2020,99.028,99.025,101.03,98.815,288.23K,-0.06%,99.47
05/01/2020,98.341,99.13,100.605,97.935,305.48K,-0.69%,99.00
06/01/2020,97.349,98.265,98.335,95.705,385.76K,-1.01%,97.41
07/01/2020,93.321,97.375,97.615,92.51,432.81K,-4.14%,95.21
08/01/2020,92.131,93.39,93.98,91.99,471.47K,-1.28%,92.87
09/01/2020,93.927,92.17,94.795,91.725,489.92K,1.95%,93.15
10/01/2020,94.042,93.865,94.14,92.46,450.49K,0.12%,93.63
11/01/2020,91.858,94.095,94.33,91.49,474.40K,-2.32%,92.94
12/01/2020,89.894,91.9,91.915,89.475,473.93K,-2.14%,90.80
01/01/2021,90.569,89.87,90.94,89.165,529.07K,0.75%,90.14
02/01/2021,90.882,90.545,91.605,89.675,562.28K,0.35%,90.68
03/01/2021,93.236,90.9,93.47,90.635,667.15K,2.59%,92.06
04/01/2021,91.27,93.23,93.365,90.395,470.77K,-2.11%,92.07
05/01/2021,89.993,91.27,91.435,89.515,527.66K,-1.40%,90.55
06/01/2021,92.431,89.795,92.44,89.65,470.42K,2.71%,91.08
07/01/2021,92.188,92.355,93.195,91.78,434.78K,-0.26%,92.38
08/01/2021,92.635,92.15,93.75,91.82,392.94K,0.48%,92.59
09/01/2021,94.24,92.67,94.52,91.8,507.70K,1.73%,93.31
10/01/2021,94.121,94.32,94.57,93.265,504.97K,-0.13%,94.07
11/01/2021,96.007,94.12,96.94,93.8,429.29K,2.00%,95.22
12/01/2021,95.593,95.96,96.895,95.575,329.52K,-0.43%,96.01
01/01/2022,96.537,95.6,97.44,94.61,393.44K,0.99%,96.05
02/01/2022,96.694,96.695,97.735,95.145,540.41K,0.16%,96.57
03/01/2022,98.36,96.81,99.425,96.625,528.85K,1.72%,97.81
04/01/2022,102.963,98.36,103.95,98.345,527.18K,4.68%,100.90
05/01/2022,101.766,103.225,105.065,101.3,535.79K,-1.16%,102.84
06/01/2022,104.464,101.77,105.565,101.66,582.38K,2.65%,103.36
07/01/2022,105.779,104.515,109.14,104.515,700.00K,1.26%,105.99
08/01/2022,108.665,105.73,109.445,104.515,760.63K,2.73%,107.09
09/01/2022,112.084,108.825,114.745,107.67,978.68K,3.15%,110.83
10/01/2022,111.42,112.15,113.85,109.365,976.50K,-0.59%,111.70
11/01/2022,105.897,111.44,113.045,105.155,877.58K,-4.96%,108.88
12/01/2022,103.269,105.57,105.86,103.145,573.38K,-2.48%,104.46
01/01/2023,101.915,103.445,105.5,101.265,552.63K,-1.31%,103.03
02/01/2023,104.825,101.925,105.32,100.68,492.74K,2.86%,103.19
03/01/2023,102.186,104.985,105.87,101.555,413.22K,-2.52%,103.65
04/01/2023,101.403,102.27,102.745,100.42,258.55K,-0.77%,101.71
05/01/2023,104.245,101.405,104.615,100.52,316.15K,2.80%,102.70
06/01/2023,102.587,104.105,104.44,101.485,272.42K,-1.59%,103.15
07/01/2023,101.626,102.645,103.275,99.22,282.98K,-0.94%,101.69
08/01/2023,103.587,101.66,104.385,101.55,326.60K,1.93%,102.80
09/01/2023,105.815,103.585,106.54,103.215,323.10K,2.15%,104.79
10/01/2023,106.494,105.88,107.05,105.155,351.08K,0.64%,106.14
11/01/2023,103.428,106.53,106.985,102.38,352.39K,-2.88%,104.83
12/01/2023,101.029,103.29,104.265,100.32,253.08K,-2.32%,102.23
01/01/2024,103.089,101.065,103.64,101.03,306.31K,2.04%,102.21
02/01/2024,104.098,103.38,104.875,102.735,298.44K,0.98%,103.77
03/01/2024,104.269,104.06,104.45,102.3,300.76K,0.16%,103.77
04/01/2024,106.1,104.25,106.325,103.645,350.92K,1.76%,105.08
05/01/2024,104.627,106.21,106.38,103.965,315.74K,-1.39%,105.30
06/01/2024,105.545,104.565,105.805,103.48,297.83K,0.88%,104.85
07/01/2024,103.859,105.395,105.74,103.34,325.92K,-1.60%,104.58
08/01/2024,101.624,103.845,104.235,100.4,379.36K,-2.15%,102.53
09/01/2024,100.521,101.65,101.855,99.865,435.94K,-1.09%,100.97
10/01/2024,103.878,100.485,104.515,100.435,489.28K,3.34%,102.33
11/01/2024,105.828,103.8,108.07,103.285,450.89K,1.88%,105.25
12/01/2024,108.296,105.82,108.38,105.4,351.28K,2.33%,106.97
01/01/2025,108.217,108.33,110.015,106.775,479.94K,-0.07%,108.33
02/01/2025,107.558,109.225,109.75,106.035,413.80K,-0.61%,108.14
03/01/2025,103.883,107.345,107.36,102.83,444.07K,-3.42%,105.35
04/01/2025,99.27,103.87,104.065,97.68,761.58K,-4.44%,101.22
05/01/2025,99.259,99.46,101.815,98.59,459.33K,-0.01%,99.78
06/01/2025,96.493,99.305,99.365,96.39,456.73K,-2.79%,97.89
07/01/2025,99.743,96.4,99.885,96,452.25K,3.37%,98.01
08/01/2025,97.69,99.805,100.055,97.43,437.25K,-2.06%,98.75
09/01/2025,96.687,97.75,98.58,95.84,200.22K,-1.03%,97.21
