Date,Year,Month,Price,Open,High,Low,Avg
10/1/2007,2007,Oct,1.0594,1.0072,1.0617,0.9984,1.0317
11/1/2007,2007,Nov,1,1.0606,1.1037,0.9985,1.0407
12/1/2007,2007,Dec,1.0035,1.0007,1.0252,0.9759,1.0013
1/1/2008,2008,Jan,0.9967,1.0016,1.0163,0.9636,0.9946
2/1/2008,2008,Feb,1.0158,0.9973,1.0297,0.9807,1.0059
3/1/2008,2008,Mar,0.9746,1.015,1.0259,0.9715,0.9968
4/1/2008,2008,Apr,0.9929,0.9747,1.0011,0.9685,0.9843
5/1/2008,2008,May,1.0066,0.9935,1.0184,0.9765,0.9988
6/1/2008,2008,Jun,0.9793,1.005,1.0072,0.9689,0.9901
7/1/2008,2008,Jul,0.977,0.9806,1.0025,0.9736,0.9834
8/1/2008,2008,Aug,0.9401,0.9781,0.9778,0.9324,0.9571
9/1/2008,2008,Sep,0.9402,0.9424,0.9711,0.9243,0.9445
10/1/2008,2008,Oct,0.8247,0.9414,0.9482,0.7684,0.8707
11/1/2008,2008,Nov,0.8093,0.8269,0.872,0.7703,0.8196
12/1/2008,2008,Dec,0.8218,0.8088,0.8381,0.769,0.8094
1/1/2009,2009,Jan,0.8151,0.822,0.8502,0.7836,0.8177
2/1/2009,2009,Feb,0.7853,0.8146,0.8243,0.7856,0.8025
3/1/2009,2009,Mar,0.7926,0.7833,0.8203,0.7657,0.7905
4/1/2009,2009,Apr,0.8377,0.7927,0.8431,0.7867,0.8151
5/1/2009,2009,May,0.9168,0.8377,0.9182,0.837,0.8774
6/1/2009,2009,Jun,0.86,0.9172,0.9274,0.8594,0.8910
7/1/2009,2009,Jul,0.9277,0.8601,0.9303,0.8532,0.8928
8/1/2009,2009,Aug,0.9138,0.9287,0.9405,0.8999,0.9207
9/1/2009,2009,Sep,0.9352,0.9147,0.9442,0.901,0.9238
10/1/2009,2009,Oct,0.922,0.9355,0.9798,0.9127,0.9375
11/1/2009,2009,Nov,0.9472,0.9222,0.9599,0.9202,0.9374
12/1/2009,2009,Dec,0.9507,0.9476,0.9647,0.9308,0.9485
1/1/2010,2010,Jan,0.9348,0.9494,0.978,0.9348,0.9493
2/1/2010,2010,Feb,0.9497,0.9344,0.9642,0.9277,0.9440
3/1/2010,2010,Mar,0.9849,0.9485,0.9939,0.9459,0.9683
4/1/2010,2010,Apr,0.9828,0.9853,1.0071,0.9791,0.9886
5/1/2010,2010,May,0.9569,0.9843,0.9899,0.9217,0.9632
6/1/2010,2010,Jun,0.9394,0.9587,0.9867,0.9368,0.9554
7/1/2010,2010,Jul,0.9711,0.9403,0.9754,0.9367,0.9559
8/1/2010,2010,Aug,0.9395,0.9719,0.9897,0.9373,0.9596
9/1/2010,2010,Sep,0.9715,0.9394,0.9812,0.9384,0.9576
10/1/2010,2010,Oct,0.9814,0.9714,1.0022,0.9641,0.9798
11/1/2010,2010,Nov,0.9738,0.9815,1.0024,0.9722,0.9825
12/1/2010,2010,Dec,1.0027,0.9744,1.0075,0.9737,0.9896
1/1/2011,2011,Jan,0.9984,1.0052,1.0171,0.9943,1.0038
2/1/2011,2011,Feb,1.0292,0.9992,1.0303,0.9988,1.0144
3/1/2011,2011,Mar,1.0308,1.0295,1.0348,1.0027,1.0245
4/1/2011,2011,Apr,1.0583,1.0311,1.0598,1.0287,1.0445
5/1/2011,2011,May,1.032,1.0576,1.059,1.0187,1.0418
6/1/2011,2011,Jun,1.0379,1.0322,1.0393,1.0088,1.0296
7/1/2011,2011,Jul,1.0467,1.0376,1.0635,1.0227,1.0426
8/1/2011,2011,Aug,1.0223,1.0465,1.054,0.9991,1.0305
9/1/2011,2011,Sep,0.9522,1.0223,1.0274,0.952,0.9885
10/1/2011,2011,Oct,1.0003,0.9542,1.0113,0.9384,0.9761
11/1/2011,2011,Nov,0.981,1.0005,1.003,0.9503,0.9837
12/1/2011,2011,Dec,0.9807,0.9817,0.9951,0.9594,0.9792
1/1/2012,2012,Jan,0.9969,0.9797,1.0038,0.9692,0.9874
2/1/2012,2012,Feb,1.0104,0.9976,1.0161,0.9949,1.0048
3/1/2012,2012,Mar,1.002,1.0109,1.0165,0.9967,1.0065
4/1/2012,2012,Apr,1.0129,1.004,1.0204,0.9949,1.0081
5/1/2012,2012,May,0.9675,1.0131,1.0174,0.9648,0.9907
6/1/2012,2012,Jun,0.9835,0.9681,0.9843,0.9573,0.9733
7/1/2012,2012,Jul,0.9967,0.9836,0.9998,0.9754,0.9889
8/1/2012,2012,Aug,1.0135,0.9966,1.0163,0.9914,1.0045
9/1/2012,2012,Sep,1.017,1.0129,1.0382,1.0081,1.0191
10/1/2012,2012,Oct,0.9998,1.0164,1.0274,0.9979,1.0104
11/1/2012,2012,Nov,1.0063,0.9996,1.013,0.9942,1.0033
12/1/2012,2012,Dec,1.0067,1.0063,1.018,1.0028,1.0085
1/1/2013,2013,Jan,1.0025,1.0074,1.0191,0.99,1.0048
2/1/2013,2013,Feb,0.9701,1.0024,1.007,0.9694,0.9872
3/1/2013,2013,Mar,0.983,0.9704,0.9858,0.9668,0.9765
4/1/2013,2013,Apr,0.9925,0.9823,0.9945,0.9714,0.9852
5/1/2013,2013,May,0.9633,0.9928,0.9987,0.9595,0.9786
6/1/2013,2013,Jun,0.9505,0.965,0.9868,0.9472,0.9624
7/1/2013,2013,Jul,0.9729,0.951,0.9761,0.9425,0.9606
8/1/2013,2013,Aug,0.9487,0.9731,0.9742,0.9461,0.9605
9/1/2013,2013,Sep,0.9698,0.9503,0.9822,0.9469,0.9623
10/1/2013,2013,Oct,0.9585,0.97,0.9738,0.9525,0.9637
11/1/2013,2013,Nov,0.9419,0.9587,0.9619,0.9408,0.9508
12/1/2013,2013,Dec,0.9413,0.9422,0.9557,0.9312,0.9426
1/1/2014,2014,Jan,0.8983,0.9413,0.9445,0.8907,0.9187
2/1/2014,2014,Feb,0.9036,0.8983,0.9168,0.8943,0.9033
3/1/2014,2014,Mar,0.9049,0.9046,0.913,0.8866,0.9023
4/1/2014,2014,Apr,0.912,0.905,0.9212,0.9032,0.9104
5/1/2014,2014,May,0.9221,0.9122,0.9249,0.9086,0.9170
6/1/2014,2014,Jun,0.9369,0.922,0.9394,0.9123,0.9277
7/1/2014,2014,Jul,0.9167,0.937,0.9418,0.9148,0.9276
8/1/2014,2014,Aug,0.9189,0.9169,0.9251,0.9092,0.9175
9/1/2014,2014,Sep,0.8927,0.9194,0.9243,0.8911,0.9069
10/1/2014,2014,Oct,0.8875,0.8931,0.9035,0.8781,0.8906
11/1/2014,2014,Nov,0.876,0.8877,0.8935,0.8719,0.8823
12/1/2014,2014,Dec,0.8604,0.8755,0.8841,0.8566,0.8692
1/1/2015,2015,Jan,0.7854,0.8605,0.8622,0.7813,0.8224
2/1/2015,2015,Feb,0.7994,0.7854,0.8096,0.7829,0.7943
3/1/2015,2015,Mar,0.7881,0.8012,0.8061,0.7792,0.7937
4/1/2015,2015,Apr,0.828,0.7884,0.8372,0.7867,0.8101
5/1/2015,2015,May,0.8032,0.828,0.839,0.7975,0.8169
6/1/2015,2015,Jun,0.8003,0.8038,0.8246,0.7959,0.8062
7/1/2015,2015,Jul,0.7639,0.8004,0.8017,0.7631,0.7823
8/1/2015,2015,Aug,0.7609,0.7635,0.7722,0.7488,0.7614
9/1/2015,2015,Sep,0.7509,0.7612,0.7686,0.743,0.7559
10/1/2015,2015,Oct,0.7645,0.7512,0.7795,0.75,0.7613
11/1/2015,2015,Nov,0.7483,0.7644,0.7671,0.7441,0.7560
12/1/2015,2015,Dec,0.7224,0.7484,0.7524,0.7142,0.7344
1/1/2016,2016,Jan,0.7156,0.7225,0.7239,0.6806,0.7107
2/1/2016,2016,Feb,0.7384,0.7157,0.7418,0.709,0.7262
3/1/2016,2016,Mar,0.7688,0.7385,0.7779,0.7377,0.7557
4/1/2016,2016,Apr,0.7965,0.769,0.8002,0.7564,0.7805
5/1/2016,2016,May,0.7637,0.7968,0.8026,0.7581,0.7803
6/1/2016,2016,Jun,0.7736,0.7638,0.7904,0.7607,0.7721
7/1/2016,2016,Jul,0.7669,0.7737,0.7795,0.7545,0.7687
8/1/2016,2016,Aug,0.7631,0.7675,0.7836,0.7574,0.7679
9/1/2016,2016,Sep,0.7616,0.763,0.78,0.7529,0.7644
10/1/2016,2016,Oct,0.7456,0.762,0.769,0.7444,0.7553
11/1/2016,2016,Nov,0.7442,0.7459,0.754,0.7358,0.7450
12/1/2016,2016,Dec,0.7443,0.7441,0.7645,0.7353,0.7471
1/1/2017,2017,Jan,0.7673,0.7442,0.7711,0.7428,0.7564
2/1/2017,2017,Feb,0.7518,0.7674,0.7704,0.751,0.7602
3/1/2017,2017,Mar,0.7509,0.7518,0.7539,0.7388,0.7489
4/1/2017,2017,Apr,0.7324,0.7516,0.7563,0.73,0.7426
5/1/2017,2017,May,0.7406,0.7322,0.747,0.7249,0.7362
6/1/2017,2017,Jun,0.7712,0.7407,0.7724,0.7381,0.7556
7/1/2017,2017,Jul,0.8013,0.7713,0.8055,0.7682,0.7866
8/1/2017,2017,Aug,0.801,0.8013,0.8038,0.7825,0.7972
9/1/2017,2017,Sep,0.8018,0.8012,0.8292,0.7982,0.8076
10/1/2017,2017,Oct,0.7759,0.8016,0.8044,0.7742,0.7890
11/1/2017,2017,Nov,0.7753,0.7758,0.7897,0.7745,0.7788
12/1/2017,2017,Dec,0.7948,0.7754,0.7992,0.7739,0.7858
1/1/2018,2018,Jan,0.8119,0.795,0.8164,0.7942,0.8044
2/1/2018,2018,Feb,0.7792,0.812,0.816,0.7786,0.7965
3/1/2018,2018,Mar,0.7754,0.7793,0.7811,0.7618,0.7744
4/1/2018,2018,Apr,0.7785,0.775,0.7984,0.7725,0.7811
5/1/2018,2018,May,0.7716,0.7788,0.7857,0.7664,0.7756
6/1/2018,2018,Jun,0.7614,0.7718,0.7778,0.747,0.7645
7/1/2018,2018,Jul,0.7687,0.761,0.7703,0.7524,0.7631
8/1/2018,2018,Aug,0.7669,0.7689,0.7761,0.7589,0.7677
9/1/2018,2018,Sep,0.7747,0.7669,0.7763,0.756,0.7685
10/1/2018,2018,Oct,0.7601,0.7751,0.7825,0.7592,0.7692
11/1/2018,2018,Nov,0.7519,0.7601,0.7665,0.7484,0.7567
12/1/2018,2018,Dec,0.7332,0.7542,0.7599,0.7309,0.7446
1/1/2019,2019,Jan,0.762,0.7333,0.7624,0.7319,0.7474
2/1/2019,2019,Feb,0.7593,0.762,0.7653,0.7495,0.7590
3/1/2019,2019,Mar,0.7492,0.7592,0.7617,0.7423,0.7531
4/1/2019,2019,Apr,0.747,0.7488,0.7535,0.7395,0.7472
5/1/2019,2019,May,0.7399,0.7471,0.7488,0.7371,0.7432
6/1/2019,2019,Jun,0.7637,0.7395,0.7659,0.7391,0.7521
7/1/2019,2019,Jul,0.758,0.7638,0.7684,0.7567,0.7617
8/1/2019,2019,Aug,0.7511,0.7581,0.759,0.7493,0.7544
9/1/2019,2019,Sep,0.7551,0.7511,0.7616,0.7472,0.7538
10/1/2019,2019,Oct,0.7597,0.7552,0.767,0.7491,0.7578
11/1/2019,2019,Nov,0.7531,0.7596,0.7628,0.7502,0.7564
12/1/2019,2019,Dec,0.77,0.7531,0.7722,0.7506,0.7615
1/1/2020,2020,Jan,0.7555,0.7699,0.772,0.7545,0.7630
2/1/2020,2020,Feb,0.7462,0.7555,0.7576,0.7426,0.7505
3/1/2020,2020,Mar,0.711,0.7455,0.7511,0.6817,0.7223
4/1/2020,2020,Apr,0.7169,0.7112,0.7221,0.6993,0.7124
5/1/2020,2020,May,0.7261,0.717,0.7293,0.7055,0.7195
6/1/2020,2020,Jun,0.7364,0.7256,0.7512,0.7245,0.7344
7/1/2020,2020,Jul,0.7453,0.7366,0.7502,0.7327,0.7412
8/1/2020,2020,Aug,0.7664,0.7462,0.7681,0.7434,0.7560
9/1/2020,2020,Sep,0.7508,0.7667,0.7697,0.7451,0.7581
10/1/2020,2020,Oct,0.7507,0.7507,0.7646,0.7468,0.7532
11/1/2020,2020,Nov,0.769,0.751,0.7739,0.7479,0.7605
12/1/2020,2020,Dec,0.7851,0.7691,0.7883,0.7688,0.7778
1/1/2021,2021,Jan,0.7824,0.7854,0.7944,0.7763,0.7846
2/1/2021,2021,Feb,0.7847,0.7826,0.8022,0.777,0.7866
3/1/2021,2021,Mar,0.7961,0.786,0.8088,0.785,0.7940
4/1/2021,2021,Apr,0.8135,0.7961,0.8154,0.7903,0.8038
5/1/2021,2021,May,0.8288,0.8138,0.8325,0.8096,0.8212
6/1/2021,2021,Jun,0.8066,0.8289,0.8331,0.8008,0.8174
7/1/2021,2021,Jul,0.8017,0.8065,0.813,0.7807,0.8005
8/1/2021,2021,Aug,0.7925,0.8013,0.8032,0.7722,0.7923
9/1/2021,2021,Sep,0.7885,0.7922,0.8005,0.7754,0.7892
10/1/2021,2021,Oct,0.807,0.7887,0.8138,0.785,0.7986
11/1/2021,2021,Nov,0.7825,0.8069,0.8097,0.7789,0.7945
12/1/2021,2021,Dec,0.7913,0.7826,0.7933,0.7713,0.7846
1/1/2022,2022,Jan,0.7868,0.7915,0.8032,0.7804,0.7905
2/1/2022,2022,Feb,0.7887,0.7869,0.7914,0.7764,0.7859
3/1/2022,2022,Mar,0.7998,0.7887,0.8046,0.775,0.7920
4/1/2022,2022,Apr,0.7776,0.7998,0.8063,0.7764,0.7900
5/1/2022,2022,May,0.7906,0.7788,0.7919,0.7646,0.7815
6/1/2022,2022,Jun,0.7768,0.7907,0.7989,0.7645,0.7827
7/1/2022,2022,Jul,0.7816,0.7768,0.782,0.7562,0.7742
8/1/2022,2022,Aug,0.7614,0.7804,0.7857,0.7609,0.7721
9/1/2022,2022,Sep,0.7231,0.7614,0.772,0.7225,0.7448
10/1/2022,2022,Oct,0.7339,0.7237,0.7411,0.7154,0.7285
11/1/2022,2022,Nov,0.7457,0.734,0.756,0.7242,0.7400
12/1/2022,2022,Dec,0.7378,0.7456,0.7471,0.7296,0.7400
1/1/2023,2023,Jan,0.7515,0.738,0.752,0.7307,0.7431
2/1/2023,2023,Feb,0.7327,0.7516,0.7541,0.7317,0.7425
3/1/2023,2023,Mar,0.7398,0.733,0.7404,0.7214,0.7337
4/1/2023,2023,Apr,0.7378,0.7398,0.7518,0.7316,0.7403
5/1/2023,2023,May,0.7366,0.7383,0.751,0.7323,0.7396
6/1/2023,2023,Jun,0.7553,0.7368,0.7624,0.736,0.7476
7/1/2023,2023,Jul,0.7582,0.7552,0.7638,0.7469,0.7560
8/1/2023,2023,Aug,0.7401,0.7582,0.7586,0.7331,0.7475
9/1/2023,2023,Sep,0.7365,0.7403,0.7473,0.7301,0.7386
10/1/2023,2023,Oct,0.7207,0.7368,0.7376,0.7197,0.7287
11/1/2023,2023,Nov,0.7374,0.7207,0.7385,0.7194,0.7290
12/1/2023,2023,Dec,0.7547,0.7373,0.7589,0.7342,0.7463
1/1/2024,2024,Jan,0.7443,0.7548,0.7559,0.7384,0.7484
2/1/2024,2024,Feb,0.7363,0.7442,0.7483,0.7349,0.7409
3/1/2024,2024,Mar,0.7384,0.7365,0.7452,0.7344,0.7386
4/1/2024,2024,Apr,0.7257,0.7383,0.742,0.7222,0.7321
5/1/2024,2024,May,0.7337,0.7259,0.7359,0.7254,0.7302
6/1/2024,2024,Jun,0.7309,0.7338,0.7352,0.725,0.7312
7/1/2024,2024,Jul,0.7242,0.7311,0.7359,0.7212,0.7281
8/1/2024,2024,Aug,0.741,0.7243,0.7441,0.717,0.7316
9/1/2024,2024,Sep,0.7393,0.7413,0.7453,0.7327,0.7397
10/1/2024,2024,Oct,0.7177,0.7393,0.7423,0.717,0.7291
11/1/2024,2024,Nov,0.7141,0.7178,0.7235,0.7053,0.7152
12/1/2024,2024,Dec,0.6952,0.714,0.715,0.6912,0.7039
1/1/2025,2025,Jan,0.6884,0.6953,0.7013,0.6852,0.6926
2/1/2025,2025,Feb,0.6913,0.6808,0.7067,0.676,0.6887
3/1/2025,2025,Mar,0.695,0.6913,0.7025,0.6876,0.6941
4/1/2025,2025,Apr,0.7247,0.6952,0.7263,0.6937,0.7100
5/1/2025,2025,May,0.7278,0.7248,0.7307,0.7134,0.7242
6/1/2025,2025,Jun,0.7348,0.7279,0.7386,0.7247,0.7315
7/1/2025,2025,Jul,0.7218,0.7348,0.7377,0.7215,0.7290
8/1/2025,2025,Aug,0.7276,0.7218,0.7289,0.7181,0.7241
9/1/2025,2025,Sep,0.726,0.728,0.7285,0.72,0.7256
