Date,Price,Open,High,Low,Vol.,Avg,ID
01/01/2000,227.75,211.25,236,207.75,183.72K,220.69,1
02/01/2000,224,227.5,235,220,471.20K,226.63,2
03/01/2000,244.5,223.75,249.5,222,638.21K,234.94,3
04/01/2000,232,244,248,231.25,535.26K,238.81,4
05/01/2000,233,236,258.25,231.5,653.16K,239.69,5
06/01/2000,195.75,236.25,241,195,350.48K,217.00,6
07/01/2000,188.5,196.5,197.25,181.25,195.56K,190.88,7
08/01/2000,192.75,189.75,193.5,182,4.76K,189.50,8
09/01/2000,197.75,191.75,199,185.25,429.95K,193.44,9
10/01/2000,206,196.75,211,196.75,909.05K,202.63,10
11/01/2000,212.75,205,217.75,204.5,435.55K,210.00,11
12/01/2000,231.75,213,232,207,349.94K,220.94,12
01/01/2001,217,231.5,232,215,547.93K,223.88,13
02/01/2001,222.5,217,223.5,216.5,392.22K,219.88,14
03/01/2001,212,222,225.75,211,423.80K,217.69,15
04/01/2001,207.5,212.75,222.75,201.5,562.50K,211.13,16
05/01/2001,200.5,207.5,211.5,195.75,372.28K,203.81,17
06/01/2001,197.25,200,209.25,192,272.48K,199.63,18
07/01/2001,226.25,197,237,194,316.98K,213.56,19
08/01/2001,227.75,223.75,234,216.75,1.53K,225.56,20
09/01/2001,214.5,226.5,227.25,213.75,476.62K,220.50,21
10/01/2001,205.5,214,216.75,202,848.06K,209.56,22
11/01/2001,212.5,205,214.75,201.5,382.10K,208.44,23
12/01/2001,209,213,217.5,207.25,264.13K,211.69,24
01/01/2002,213,209,223.25,207.75,391.50K,213.25,25
02/01/2002,207.5,212.75,216.5,205.25,438.11K,210.50,26
03/01/2002,209,207,215.75,206.25,384.08K,209.50,27
04/01/2002,200.5,208.5,211.75,199.25,503.79K,205.00,28
05/01/2002,220.5,200.75,222.75,198,507.98K,210.50,29
06/01/2002,233,219,237,211,354.23K,225.00,30
07/01/2002,256.5,233,260,220.25,929.53K,242.44,31
08/01/2002,268,258,288.5,253.25,1.31M,266.94,32
09/01/2002,259,268.5,296,257.25,686.84K,270.19,33
10/01/2002,252,259,267.5,249.75,316.04K,257.06,34
11/01/2002,241.5,252,253.25,238.75,589.71K,246.38,35
12/01/2002,239.75,241.5,246.25,235,393.65K,240.63,36
01/01/2003,240.25,239.75,248.75,231.25,131.54K,240.00,37
02/01/2003,233.25,239.75,246,232,431.93K,237.75,38
03/01/2003,237,234,241.25,227.25,476.29K,234.88,39
04/01/2003,231.25,236.75,246.5,229.5,662.39K,236.00,40
05/01/2003,243,231,259,230.25,679.14K,240.81,41
06/01/2003,223.75,243.5,245.75,223.5,315.17K,234.13,42
07/01/2003,212,224,225.75,209.5,656.38K,217.81,43
08/01/2003,241.75,212.25,243.25,212,1.15M,227.31,44
09/01/2003,228.75,238.5,247.25,227.5,628.60K,235.50,45
10/01/2003,252.5,228.75,255,220,455.13K,239.06,46
11/01/2003,248.75,251.5,252.5,234,652.72K,246.69,47
12/01/2003,248.75,251,256.25,233,553.80K,247.25,48
01/01/2004,281.5,249.25,285.75,248.75,296.62K,266.31,49
02/01/2004,303,280.75,304.75,274,727.94K,290.63,50
03/01/2004,325.5,303,327.5,291,737.80K,311.75,51
04/01/2004,320.25,325,342,303,787.01K,322.56,52
05/01/2004,299.75,321.25,326.5,281.75,364.55K,307.31,53
06/01/2004,262.5,305,322.5,260,440.13K,287.50,54
07/01/2004,225.5,262.5,264.25,225,761.11K,244.31,55
08/01/2004,237.75,225.5,245.25,225,1.13M,233.38,56
09/01/2004,216.25,237,245,215,634.69K,228.31,57
10/01/2004,213,216,220,208.5,268.81K,214.38,58
11/01/2004,203.75,212.5,219,203.5,794.14K,209.69,59
12/01/2004,213,204,216.25,201,484.26K,208.56,60
01/01/2005,204.5,211.5,217.25,202.75,211.17K,209.00,61
02/01/2005,222.75,204.75,225,201.75,1.09M,213.56,62
03/01/2005,221,220.75,238,211.75,858.55K,222.88,63
04/01/2005,213.5,221.5,223.75,211.25,1.09M,217.50,64
05/01/2005,230.75,214.25,236,203,732.07K,221.00,65
06/01/2005,222.25,229.25,247,219,725.12K,229.38,66
07/01/2005,248.25,222,273,222,1.25M,241.31,67
08/01/2005,216.5,250,251.5,215,1.77M,233.25,68
09/01/2005,217.75,216.5,222.75,206.5,723.31K,215.88,69
10/01/2005,210.25,217.75,222,210,338.97K,215.00,70
11/01/2005,201.75,210,213.25,200.25,1.00M,206.31,71
12/01/2005,225,202.25,227,199.5,751.17K,213.44,72
01/01/2006,229,224.5,231.75,213.5,363.46K,224.69,73
02/01/2006,238.75,228.25,239.75,225.5,1.18M,233.06,74
03/01/2006,247.25,237.75,253,225.75,1.14M,240.94,75
04/01/2006,249,246.5,255.25,240.25,1.42M,247.75,76
05/01/2006,262.5,248.5,275,235.5,1.21M,255.38,77
06/01/2006,246,262,271.5,232.25,990.90K,252.94,78
07/01/2006,256,250,275.75,247.75,1.57M,257.38,79
08/01/2006,248,256.75,266,233.5,2.39M,251.06,80
09/01/2006,275.25,247.75,280.5,236,1.36M,259.88,81
10/01/2006,334.75,276.25,346.25,275.5,1.10M,308.19,82
11/01/2006,390.5,334.5,393.5,334.5,2.09M,363.25,83
12/01/2006,398.5,389.75,400,362,968.65K,387.56,84
01/01/2007,415.75,397.5,430.75,362.5,658.33K,401.63,85
02/01/2007,435.5,415.5,450.25,403.5,1.64M,426.19,86
03/01/2007,385.5,436.5,439.75,385.5,1.89M,411.81,87
04/01/2007,367.5,368,397,355,2.19M,371.88,88
05/01/2007,391.5,373.5,401,352,1.30M,379.50,89
06/01/2007,340,391,436,333.5,1.35M,375.13,90
07/01/2007,342.25,340.25,362.25,324.5,1.69M,342.31,91
08/01/2007,340,343,372,326.5,2.47M,345.38,92
09/01/2007,389.25,342.5,404.75,335.5,1.27M,368.00,93
10/01/2007,392.75,389,396.75,352,574.68K,382.63,94
11/01/2007,401.5,392.25,411,383.5,1.59M,397.06,95
12/01/2007,466.75,401,468.25,399.75,1.22M,433.94,96
01/01/2008,513.25,466.75,531,466.75,508.46K,494.44,97
02/01/2008,556.5,514,559.75,503.25,2.45M,533.38,98
03/01/2008,582,556,600.75,515,3.36M,563.44,99
04/01/2008,612.25,582,628.75,574.5,2.49M,599.38,100
05/01/2008,612.5,614,639,584,1.62M,612.38,101
06/01/2008,737.75,610.75,779,609,1.41M,684.13,102
07/01/2008,607.5,733,763.5,562.75,2.45M,666.69,103
08/01/2008,585,609,628.75,504.5,2.88M,581.81,104
09/01/2008,506.5,576,598,504.75,1.44M,546.31,105
10/01/2008,419.25,512.5,519,380,853.08K,457.69,106
11/01/2008,365.75,415.75,439.5,352.25,1.32M,393.31,107
12/01/2008,417.75,366.25,433.5,305.5,1.29M,380.75,108
01/01/2009,390.25,413.5,439.5,369.75,366.67K,403.25,109
02/01/2009,359,390,393,350.5,1.41M,373.13,110
03/01/2009,414.75,357.25,416,344.5,1.39M,383.13,111
04/01/2009,403.5,411.5,417.5,370,1.65M,400.63,112
05/01/2009,446.25,401.5,446.75,396.5,1.46M,422.75,113
06/01/2009,354.5,444,460,354.5,1.10M,403.25,114
07/01/2009,349.5,351.5,361,314.75,2.05M,344.19,115
08/01/2009,329.75,353,376,311.5,2.50M,342.56,116
09/01/2009,356.75,328.25,361.25,302,1.11M,337.06,117
10/01/2009,379.25,354.25,424.5,340.75,715.68K,374.69,118
11/01/2009,417.5,375,425,372.5,1.66M,397.50,119
12/01/2009,424.25,415.25,429,379,1.34M,411.88,120
01/01/2010,367.75,424.75,436,366.25,513.61K,398.69,121
02/01/2010,389,367,391,359,1.57M,376.50,122
03/01/2010,356.5,389,392,355,1.40M,373.13,123
04/01/2010,375.25,357,377.75,351.5,2.53M,365.38,124
05/01/2010,369,374.5,385,362,1.58M,372.63,125
06/01/2010,362.75,368.75,376.5,332.75,1.54M,360.19,126
07/01/2010,406.75,362.75,410,359.75,2.17M,384.81,127
08/01/2010,439.25,405.5,445.25,399.25,3.66M,422.31,128
09/01/2010,508.25,438.75,541,437.75,2.42M,481.44,129
10/01/2010,595,507.5,598,466,1.47M,541.63,130
11/01/2010,544,598,617.5,520.25,2.77M,569.94,131
12/01/2010,636.5,544.5,638.5,542.5,1.63M,590.50,132
01/01/2011,670,634.25,677,604,834.61K,646.31,133
02/01/2011,731,669,744.25,666.25,2.43M,702.63,134
03/01/2011,701,730.5,742,615.25,2.95M,697.19,135
04/01/2011,756.5,734.25,788.75,726,3.51M,751.38,136
05/01/2011,717.5,752.75,761.5,659,1.98M,722.69,137
06/01/2011,648,720.5,765,636,1.95M,692.38,138
07/01/2011,668.75,605,703.75,603,2.23M,645.13,139
08/01/2011,767.5,671,779,668,4.03M,721.38,140
09/01/2011,605.75,766,767.5,605.75,2.03M,686.25,141
10/01/2011,659,604.25,675,586,997.19K,631.06,142
11/01/2011,608,658.5,676.25,587,2.62M,632.44,143
12/01/2011,654.75,608.75,656.5,578.5,1.58M,624.63,144
01/01/2012,645.25,669.5,672.5,599.25,1.01M,646.63,145
02/01/2012,658,645,661.5,626,1.79M,647.63,146
03/01/2012,643.25,656,673.25,602.5,2.38M,643.75,147
04/01/2012,634.25,646.75,659.75,591.75,2.86M,633.13,148
05/01/2012,525.5,632,634.25,511.5,1.93M,575.81,149
06/01/2012,628.5,525.75,649.25,510,1.78M,578.38,150
07/01/2012,805.25,642.5,820.5,640.75,2.95M,727.25,151
08/01/2012,802.75,806.5,843.75,776.75,1.60M,807.44,152
09/01/2012,756.25,805,818.25,705,1.56M,771.13,153
10/01/2012,755.75,760.25,776,732.25,3.00M,756.06,154
11/01/2012,748,755.5,763.25,710.5,3.13M,744.31,155
12/01/2012,698.25,752,759,687.5,874.51K,724.19,156
01/01/2013,740.5,706.25,744.5,678,2.88M,717.31,157
02/01/2013,719.5,740.25,746.25,687.25,2.70M,723.31,158
03/01/2013,695.25,719.5,749,695.25,1.22M,714.75,159
04/01/2013,683.25,679,693,626.5,2.67M,670.44,160
05/01/2013,662,679.5,722.5,632.5,1.22M,674.13,161
06/01/2013,679.25,661.25,685.5,640.5,2.05M,666.63,162
07/01/2013,499,678.5,800,488.25,988.75K,616.44,163
08/01/2013,495,499,522.75,453.75,1.62M,492.63,164
09/01/2013,441.5,501.25,504.5,440.75,1.32M,472.00,165
10/01/2013,428.25,441.25,449.75,427,2.95M,436.56,166
11/01/2013,415.25,427.75,438,410.75,3.72M,422.94,167
12/01/2013,422,414.75,436,410,879.44K,420.69,168
01/01/2014,434,422,435.5,406.25,3.25M,424.44,169
02/01/2014,457.5,433.5,459,433.25,3.19M,445.81,170
03/01/2014,502,459,503.75,457.25,1.34M,480.50,171
04/01/2014,514,501.5,519,485.5,2.65M,505.00,172
05/01/2014,465.75,513.25,519.5,465,1.27M,490.88,173
06/01/2014,424.25,465,470.5,422.5,2.61M,445.56,174
07/01/2014,357,423.75,423.75,356.5,1.03M,390.25,175
08/01/2014,359,357,370,347.75,1.96M,358.44,176
09/01/2014,320.75,357.5,360.75,319.5,1.44M,339.63,177
10/01/2014,376.75,320.25,381,318.25,3.80M,349.06,178
11/01/2014,375.75,374.5,389,359,3.71M,374.56,179
12/01/2014,397,374,417,364.25,1.38M,388.06,180
01/01/2015,370,396.25,409.5,365.75,3.19M,385.38,181
02/01/2015,384.5,369.75,391.75,367.5,3.08M,378.38,182
03/01/2015,376.25,383,398.5,367,2.16M,381.19,183
04/01/2015,362.5,377,390,359,3.19M,372.13,184
05/01/2015,351.5,362.5,371.5,348.25,1.66M,358.44,185
06/01/2015,414,350.5,415,346.75,4.33M,381.56,186
07/01/2015,371,411,438.75,365.75,1.57M,396.63,187
08/01/2015,363.75,370,391.5,346.5,2.47M,367.94,188
09/01/2015,387.75,362.5,395,346.75,1.71M,373.00,189
10/01/2015,382.25,387.75,399.75,372,3.50M,385.44,190
11/01/2015,365,381.25,383.5,356,4.09M,371.44,191
12/01/2015,358.75,365.25,381.75,357,1.57M,365.69,192
01/01/2016,372,359.5,373,348.5,3.57M,363.25,193
02/01/2016,353.5,371,373.75,352.5,3.58M,362.69,194
03/01/2016,351.5,353.5,374,347.5,2.11M,356.63,195
04/01/2016,390.25,351.75,402,347.25,4.43M,372.81,196
05/01/2016,404.75,388.75,413.5,367,2.07M,393.50,197
06/01/2016,358.75,404.25,439.25,355.75,4.55M,389.50,198
07/01/2016,334.5,360.75,374.5,326.75,1.07M,349.13,199
08/01/2016,301.5,332.5,334.75,301,2.34M,317.44,200
09/01/2016,336.75,302,342.25,301.75,1.76M,320.69,201
10/01/2016,354.75,336.25,359.25,335.25,3.55M,346.38,202
11/01/2016,336.75,354.75,356.5,335.5,4.10M,345.88,203
12/01/2016,352,337,363,331,1.22M,345.75,204
01/01/2017,359.75,352,371,351.5,3.62M,358.56,205
02/01/2017,366.75,360,380,358,3.71M,366.19,206
03/01/2017,364.25,366.25,377,353,1.86M,365.13,207
04/01/2017,358,365.75,373,354.25,3.50M,362.75,208
05/01/2017,372,363,377.5,356.25,1.97M,367.19,209
06/01/2017,370.5,371.5,391.75,356.25,5.11M,372.50,210
07/01/2017,370.75,373.25,394.5,360,1.31M,374.63,211
08/01/2017,342.25,369.25,375.5,328.5,2.97M,353.88,212
09/01/2017,355.25,341.5,358,336,1.60M,347.69,213
10/01/2017,345.75,354.75,356.25,342.5,3.70M,349.81,214
11/01/2017,341.75,345.75,352,335.5,5.01M,343.75,215
12/01/2017,350.75,341.75,354.25,335.25,1.00M,345.50,216
01/01/2018,361.5,351.25,362.25,345.5,3.96M,355.13,217
02/01/2018,374.5,360.75,376.75,356.25,4.71M,367.06,218
03/01/2018,387.75,374,390.75,369.25,2.28M,380.44,219
04/01/2018,392.5,389.25,395.75,372,4.00M,387.38,220
05/01/2018,394,393,412.25,387.5,2.32M,396.69,221
06/01/2018,350.25,393.75,397,338.75,4.62M,369.94,222
07/01/2018,372.25,352.25,374.25,329.75,1.31M,357.13,223
08/01/2018,351,372,373.75,340.25,2.70M,359.25,224
09/01/2018,356.25,351.5,366.75,337,1.76M,352.88,225
10/01/2018,363.25,356.75,378.5,356.5,3.82M,363.75,226
11/01/2018,366.5,363.25,379,355.25,4.35M,366.00,227
12/01/2018,375,372.75,386.5,369.25,1.13M,375.88,228
01/01/2019,376.5,375.25,384.5,371,3.42M,376.81,229
02/01/2019,362,376.5,381.75,361.25,4.41M,370.38,230
03/01/2019,356.5,361.75,380.75,352.75,2.10M,362.94,231
04/01/2019,353.25,356.5,366.25,342.25,3.98M,354.56,232
05/01/2019,427,353.5,438,335.5,4.19M,388.50,233
06/01/2019,420.25,426.25,464.25,407,4.83M,429.44,234
07/01/2019,400.25,424.25,460,400,1.69M,421.13,235
08/01/2019,358,401.75,417,355.25,3.08M,383.00,236
09/01/2019,388,358.75,388.25,340,1.65M,368.75,237
10/01/2019,390,386.75,402.5,378.25,3.65M,389.38,238
11/01/2019,371.25,389.25,391.75,362.25,3.79M,378.63,239
12/01/2019,387.75,371.75,392,357,1.11M,377.13,240
01/01/2020,381.25,387.75,394,375.25,3.60M,384.56,241
02/01/2020,366.5,380.5,385,361.75,3.51M,373.44,242
03/01/2020,340.75,366.5,388.5,332,2.00M,356.94,243
04/01/2020,311.5,341.25,343.25,300.25,2.91M,324.06,244
05/01/2020,325.75,311,330.75,305.5,1.37M,318.25,245
06/01/2020,338.5,325.5,342,313.5,4.08M,329.88,246
07/01/2020,316,338.5,356.5,314.5,1.45M,331.38,247
08/01/2020,348.5,315,353,307.25,2.75M,330.94,248
09/01/2020,379,347.75,382.75,343.25,2.13M,363.19,249
10/01/2020,398.5,379,422.25,377.25,4.51M,394.25,250
11/01/2020,419.75,396,430.5,393,3.53M,409.81,251
12/01/2020,484,420,485.75,409,1.65M,449.69,252
01/01/2021,547,487.25,553.75,479.5,4.29M,516.88,253
02/01/2021,555.5,549,574.25,524.75,3.56M,550.88,254
03/01/2021,564.25,560.5,571.25,532.75,1.76M,557.19,255
04/01/2021,740,575,746.25,549.75,3.43M,652.75,256
05/01/2021,656.75,740,775,602.75,1.54M,693.63,257
06/01/2021,720,666,743.25,629.5,3.53M,689.69,258
07/01/2021,547,719.75,750.5,536.75,891.07K,638.50,259
08/01/2021,534,547.25,589.5,524,2.14M,548.69,260
09/01/2021,536.75,534,548.5,487.75,1.54M,526.75,261
10/01/2021,568.25,536.75,569.25,506.75,2.88M,545.25,262
11/01/2021,567,568,589,547.75,3.65M,567.94,263
12/01/2021,593.25,568,617.75,567,1.45M,586.50,264
01/01/2022,626,599,642.5,584.75,3.46M,613.06,265
02/01/2022,697.5,626,718.75,610.25,3.56M,663.13,266
03/01/2022,748.75,699.75,800,699.75,1.43M,737.06,267
04/01/2022,818.25,748.5,827,730.25,2.40M,781.00,268
05/01/2022,753.5,811.5,822,747.25,1.31M,783.56,269
06/01/2022,743.75,753.75,800,720.5,3.07M,754.50,270
07/01/2022,616.25,748,800,561.5,969.91K,681.44,271
08/01/2022,673.75,619.75,684.25,583,1.96M,640.19,272
09/01/2022,677.5,671,725,655,1.68M,682.13,273
10/01/2022,691.5,680,706.5,671.5,2.81M,687.38,274
11/01/2022,662,689,698.5,651.25,3.14M,675.19,275
12/01/2022,678.5,661.75,685,623,1.00M,662.06,276
01/01/2023,679.75,677.25,688.75,648.25,2.92M,673.50,277
02/01/2023,629.5,679.25,688.25,629.25,2.79M,656.56,278
03/01/2023,660.5,630,664.5,618.25,1.82M,643.31,279
04/01/2023,636,659.5,682.5,572,13.72K,637.50,280
05/01/2023,593,583.3,656.25,547.1,176.21K,594.91,281
06/01/2023,554.5,594,672.5,552,3.16M,593.25,282
07/01/2023,504,558.5,614.75,495.25,1.29M,543.13,283
08/01/2023,461,504,512.25,459,2.20M,484.06,284
09/01/2023,476.75,461,490,455.75,1.23M,470.88,285
10/01/2023,478.75,477,509.5,476,3.35M,485.31,286
11/01/2023,461.75,478.75,481.25,447,3.79M,467.19,287
12/01/2023,471.25,460.25,484,455,1.13M,467.63,288
01/01/2024,458.5,483,483.75,447.5,1.31M,468.19,289
02/01/2024,415.75,448,448.75,394.5,3.61M,426.75,290
03/01/2024,454.5,429.25,460,422,2.32M,441.44,291
04/01/2024,446.75,454.5,454.5,435.75,3.54M,447.88,292
05/01/2024,454,446.75,483.75,443.75,3.03M,457.06,293
06/01/2024,397.25,445.75,460.5,390.5,3.98M,423.50,294
07/01/2024,382.75,397.25,412,381,1.76M,393.25,295
08/01/2024,401,399.75,409,385,4.42M,398.69,296
09/01/2024,424.75,378,427.75,376.5,2.05M,401.75,297
10/01/2024,410.75,423.5,434.25,399,5.16M,416.88,298
11/01/2024,433,425.75,447.75,425.5,3.53M,433.00,299
12/01/2024,458.5,423,459,420.25,1.84M,440.19,300
01/01/2025,493,465,508,456.75,2.29M,480.69,301
02/01/2025,453.5,476.75,504.5,453,4.04M,471.94,302
03/01/2025,463.25,469.75,477.5,442.5,3.83M,463.25,303
04/01/2025,475.5,463.5,497.5,455.25,3.91M,472.94,304
05/01/2025,423.25,475,480,420.75,2.99M,449.75,305
06/01/2025,409.25,423.25,434.75,402.25,2.90M,417.38,306
07/01/2025,413.75,408.25,430.25,391.25,3.40M,410.88,307
08/01/2025,420.25,413.25,420.5,392,4.45M,411.50,308
09/01/2025,424.25,419.5,431.13,414.1,1.52M,422.25,309
